player_api_id,value_eur,wage_eur
20801,77000000,405000
158023,110500000,565000
190871,118500000,290000
193080,72000000,260000
192985,102000000,355000
155862,51000000,380000
176580,80000000,455000
177003,67000000,420000
183277,93000000,340000
200389,68000000,94000
192119,62000000,250000
167495,44000000,135000
182493,44000000,125000
182521,76500000,355000
188545,77000000,205000
211110,89000000,205000
192448,58000000,240000
197781,83000000,325000
202126,86000000,205000
194765,78000000,145000
215914,63000000,225000
138956,27000000,215000
153079,64500000,300000
168542,51500000,275000
178603,51500000,165000
179813,60000000,200000
190460,73500000,205000
195864,73000000,255000
200145,61500000,285000
189242,69500000,340000
198710,69500000,315000
209331,69500000,255000
1179,4000000,77000
162835,30000000,110000
164240,24000000,165000
167664,57000000,245000
167948,36000000,150000
173731,60000000,355000
176676,43000000,285000
189511,46000000,300000
198219,62000000,165000
231747,72000000,83000
205600,57000000,205000
201024,51000000,115000
201399,64500000,130000
192505,62500000,230000
152729,34000000,240000
168651,46500000,260000
171877,46500000,125000
172871,34000000,155000
175943,45000000,135000
184941,49500000,250000
188567,50500000,220000
189332,38000000,250000
192387,52000000,115000
193041,30500000,195000
222492,62500000,195000
201535,51500000,210000
210257,41500000,125000
199556,55000000,135000
201942,54500000,195000
184432,40500000,175000
208722,52000000,195000
135507,18000000,185000
171919,10500000,42000
176635,43500000,190000
177509,30000000,160000
180206,44000000,180000
181458,43500000,120000
183907,34500000,125000
184344,30000000,160000
189509,45500000,130000
189513,42500000,72000
189596,46000000,145000
190483,46500000,175000
191043,36500000,160000
191202,34500000,195000
192366,33000000,185000
220834,56500000,215000
232363,46500000,82000
208421,52000000,77000
212831,36500000,115000
223848,50500000,73000
209499,42500000,130000
216594,50000000,92000
202652,49000000,180000
212622,40500000,92000
192774,37500000,96000
197445,38000000,110000
203376,38500000,150000
184087,34000000,140000
193747,45000000,88000
9014,19500000,120000
41236,14000000,15000
120533,9000000,57000
139720,22000000,170000
156616,17000000,87000
164169,21500000,81000
167397,30500000,125000
168609,15500000,96000
170890,26000000,145000
178518,35500000,105000
179844,38500000,100000
179846,33000000,160000
180930,30500000,115000
181872,26000000,205000
184267,39000000,28000
187961,37000000,235000
188350,37500000,92000
192629,36500000,49000
204485,40500000,205000
211117,42500000,115000
212190,36500000,84000
218667,42500000,165000
198009,29500000,105000
207865,35500000,90000
220793,35500000,105000
216460,34000000,63000
192563,27000000,115000
199564,31500000,185000
204963,31500000,185000
204970,39000000,72000
205498,38000000,155000
212462,32000000,22000
186153,26000000,115000
198176,31500000,88000
199482,25000000,72000
207566,31500000,38000
178750,24000000,42000
186942,35000000,175000
193301,36500000,165000
194404,25000000,45000
198329,36500000,63000
200104,37000000,125000
20775,15500000,80000
137186,4200000,95000
143076,30000000,53000
157481,18000000,88000
162240,29000000,135000
162895,26500000,155000
163587,19000000,78000
165153,30000000,225000
167628,19000000,41000
172879,23000000,140000
176769,16500000,25000
177388,27500000,75000
177610,24000000,105000
180403,30500000,175000
181783,25000000,160000
183898,29500000,125000
185020,27500000,105000
188377,24500000,165000
190584,31000000,51000
190941,22000000,74000
192883,30500000,160000
193082,29500000,150000
230666,41000000,130000
206585,28500000,84000
222737,36500000,155000
207410,35000000,165000
211300,35500000,150000
213565,35500000,64000
225850,30500000,82000
202556,35000000,84000
209658,34000000,85000
212218,29500000,125000
213331,29500000,67000
219683,34000000,85000
220971,34000000,120000
200316,24000000,25000
210008,33000000,91000
210617,34000000,105000
212188,34500000,70000
212198,34000000,20000
213345,34000000,85000
224411,34000000,39000
195093,32500000,48000
200888,27000000,21000
201153,33000000,145000
202166,32500000,91000
204639,26000000,67000
204935,23500000,78000
206545,31500000,49000
208418,33000000,20000
200724,24500000,180000
208093,32000000,53000
179783,20000000,38000
193698,21000000,42000
208808,30500000,28000
24630,6000000,56000
53302,8000000,80000
106231,9500000,31000
163705,13000000,51000
168354,15000000,17000
176266,17500000,64000
178005,16500000,74000
178086,15500000,55000
178088,24500000,160000
178562,24500000,28000
179944,17500000,130000
184942,26000000,64000
185221,19000000,63000
186627,27500000,55000
189068,26000000,26000
189358,25500000,77000
189712,25500000,72000
190547,19000000,86000
192593,13000000,70000
197965,25500000,22000
207863,20000000,22000
208618,27000000,205000
230294,28500000,60000
230375,22500000,43000
230481,28000000,51000
230621,29000000,23000
231443,34500000,140000
230658,32500000,125000
210413,26500000,84000
212523,31000000,16000
213661,26500000,98000
220440,26500000,135000
220814,26000000,53000
229906,31500000,58000
206113,30500000,78000
209989,25500000,59000
212194,30500000,68000
198706,30000000,67000
201400,29500000,165000
202651,29500000,105000
203574,25000000,115000
208596,30000000,58000
212404,29500000,110000
221087,21500000,21000
225508,25000000,115000
227055,29500000,59000
231866,29000000,59000
208670,28500000,26000
211320,24500000,95000
192318,27000000,67000
192984,19500000,46000
198717,28500000,78000
201455,27500000,46000
201995,28000000,98000
209297,27500000,140000
236583,19500000,30000
192227,22500000,115000
203263,22500000,77000
208448,27000000,67000
177683,17000000,32000
181291,25000000,130000
185239,20000000,64000
186561,25000000,130000
188152,26000000,27000
192638,20500000,115000
193469,19500000,43000
197655,21000000,19000
198141,21000000,32000
198951,26000000,33000
200949,26500000,105000
201305,21000000,44000
202371,21000000,87000
202685,26000000,52000
203551,20500000,73000
207494,26500000,140000
216194,20000000,33000
216354,26000000,54000
216451,25500000,79000
5479,1500000,10000
45186,7500000,26000
48940,3000000,60000
104389,11000000,30000
113422,8000000,12000
146530,4800000,62000
158963,12500000,98000
163489,13500000,52000
165229,12500000,115000
167905,12500000,130000
168435,13500000,45000
168530,12500000,17000
170481,15000000,44000
171897,19000000,35000
172522,21500000,50000
173521,15000000,73000
177413,21500000,70000
177457,17000000,75000
178509,20000000,140000
179847,15000000,73000
181786,12500000,1000
183280,12500000,57000
183376,17000000,18000
183498,9000000,59000
183574,21500000,45000
183711,18000000,125000
184144,21000000,22000
184200,22000000,120000
184431,20000000,15000
185103,12500000,73000
186345,18500000,99000
187754,21000000,1000
187936,17000000,77000
188803,21000000,1000
189125,22000000,115000
189505,21000000,140000
191180,21500000,84000
191740,22000000,150000
193474,18000000,115000
193525,18500000,1000
195365,23000000,67000
198164,22500000,31000
199845,16500000,59000
199914,23000000,80000
205678,22500000,40000
207471,21500000,27000
207664,20000000,49000
208830,20000000,96000
230168,14000000,32000
230225,6500000,39000
230258,16500000,46000
231677,26500000,110000
210035,21000000,14000
204884,20500000,105000
208135,20500000,60000
210514,20500000,88000
216201,24500000,31000
203042,17000000,42000
210243,20000000,64000
215316,16500000,28000
216267,20000000,91000
226456,24000000,36000
188988,23000000,90000
193105,16500000,61000
201377,19000000,41000
204529,23500000,115000
210864,19000000,58000
226271,23000000,64000
189117,15000000,46000
197853,18500000,87000
199503,22000000,115000
200726,15000000,27000
203890,18000000,57000
204923,22500000,54000
205362,18500000,36000
205452,18500000,105000
205923,18500000,87000
207877,22500000,14000
212814,22500000,71000
190813,21500000,77000
193165,21500000,18000
197061,18000000,110000
199987,14500000,125000
200610,22000000,76000
202477,22000000,60000
203486,21500000,36000
189881,16000000,130000
193348,21000000,130000
195086,16000000,115000
198950,21000000,24000
201454,16500000,68000
204024,17000000,35000
112316,5500000,18000
138412,13500000,120000
144622,11000000,41000
150418,14000000,50000
156519,17500000,20000
157960,14000000,1000
159145,14000000,56000
161956,11000000,74000
162347,15000000,85000
164468,10000000,110000
166706,7000000,73000
