Team_to,Season,fees
Real Madrid CF,2000-2001,90750000
Lazio,2000-2001,56810000
FC Barcelona,2000-2001,55000000
Paris Saint-Germain,2000-2001,47950000
Leeds,2000-2001,45650000
Juventus,2000-2001,23240000
Stade Rennais FC,2000-2001,34800000
Valencia CF,2000-2001,34550000
AS Roma,2000-2001,57200000
Inter,2000-2001,43250000
AC Milan,2000-2001,19000000
Arsenal,2000-2001,42600000
Galatasaray,2000-2001,17050000
Fiorentina,2000-2001,17000000
Borussia Dortmund,2000-2001,14500000
PSV Eindhoven,2000-2001,14000000
RC Deportivo de La Coruña,2000-2001,9600000
Coventry City,2000-2001,13000000
Liverpool,2000-2001,9000000
Bayer 04 Leverkusen,2000-2001,15750000
Chelsea,2000-2001,9400000
SL Benfica,2000-2001,11500000
Ipswich,2000-2001,6750000
Sunderland,2000-2001,4700000
Manchester City,2000-2001,4500000
Charlton,2000-2001,4300000
Hellas Verona,2000-2001,4000000
Everton,2000-2001,6130000
Fulham,2000-2001,3150000
West Bromwich Albion,2000-2001,3000000
Derby,2000-2001,3000000
Newcastle United,2000-2001,3000000
Queens Park Rangers,2000-2001,3000000
Feyenoord,2000-2001,4700000
R. Strasbourg,2000-2001,2700000
AFC Ajax,2000-2001,5300000
West Ham United,2000-2001,2600000
Vitesse,2000-2001,2500000
Leicester City,2000-2001,2500000
Bari,2000-2001,2500000
Chievo Verona,2000-2001,2330000
MK Dons,2000-2001,2250000
Celtic,2000-2001,2250000
Standard Liège,2000-2001,2200000
Preston NE,2000-2001,2000000
SV Werder Bremen,2000-2001,1900000
Real Madrid CF,2001-2002,77500000
Juventus,2001-2002,107080000
Manchester United,2001-2002,82100000
AC Milan,2001-2002,122500000
FC Barcelona,2001-2002,65900000
AS Roma,2001-2002,47500000
Parma,2001-2002,45700000
Inter,2001-2002,64190000
Leeds,2001-2002,34800000
RC Deportivo de La Coruña,2001-2002,35300000
Chelsea,2001-2002,44800000
Brescia,2001-2002,15500000
Arsenal,2001-2002,13500000
SL Benfica,2001-2002,14500000
Olympique de Marseille,2001-2002,11500000
Valencia CF,2001-2002,10800000
Fulham,2001-2002,22500000
Queens Park Rangers,2001-2002,9750000
Paris Saint-Germain,2001-2002,18100000
Newcastle United,2001-2002,16500000
Olympique Lyonnais,2001-2002,8800000
AS Monaco,2001-2002,13000000
PSV Eindhoven,2001-2002,8400000
Liverpool,2001-2002,21700000
FC Bayern Munich,2001-2002,15700000
AFC Ajax,2001-2002,15500000
VfB Stuttgart,2001-2002,7500000
Charlton,2001-2002,13500000
Aston Villa,2001-2002,14300000
Borussia Dortmund,2001-2002,10300000
Lecce,2001-2002,7000000
Girondins de Bordeaux,2001-2002,12000000
Everton,2001-2002,6750000
Ipswich,2001-2002,6250000
Hertha BSC Berlin,2001-2002,6250000
Cruzeiro,2001-2002,6000000
Southampton,2001-2002,8650000
Villarreal CF,2001-2002,6000000
Feyenoord,2001-2002,5500000
Real Sociedad,2001-2002,5000000
Lazio,2001-2002,5000000
Real Betis,2001-2002,5000000
West Ham United,2001-2002,4800000
Sporting CP,2001-2002,4500000
Leicester City,2001-2002,4500000
Wolverhampton Wanderers,2001-2002,4500000
1.FC K'lautern,2001-2002,4000000
Hellas Verona,2001-2002,3870000
FC Nantes,2001-2002,3800000
Stade Rennais FC,2001-2002,6800000
VfL Wolfsburg,2001-2002,9000000
Bayer 04 Leverkusen,2001-2002,3250000
FC Basel,2001-2002,3000000
Genclerbirligi,2001-2002,3000000
Middlesbrough,2001-2002,5300000
Atalanta,2001-2002,2500000
Standard Liège,2001-2002,2500000
Panathinaikos,2001-2002,2300000
Real Zaragoza,2001-2002,2250000
Portsmouth,2001-2002,2250000
RC Lens,2001-2002,1800000
Manchester United,2002-2003,48230000
Real Madrid CF,2002-2003,45000000
Inter,2002-2003,63000000
AC Milan,2002-2003,64000000
Juventus,2002-2003,34740000
Manchester City,2002-2003,35300000
Parma,2002-2003,48500000
Newcastle United,2002-2003,33050000
Middlesbrough,2002-2003,25260000
Paris Saint-Germain,2002-2003,11000000
Tottenham Hotspur,2002-2003,10500000
Lazio,2002-2003,11500000
FC Bayern Munich,2002-2003,15500000
Girondins de Bordeaux,2002-2003,10500000
Borussia Dortmund,2002-2003,8500000
Queens Park Rangers,2002-2003,7900000
São Paulo,2002-2003,11300000
Liverpool,2002-2003,16500000
FC Schalke 04,2002-2003,13250000
Atlético Madrid,2002-2003,9500000
Bayer 04 Leverkusen,2002-2003,13500000
RCD Espanyol,2002-2003,6000000
FC Nantes,2002-2003,5500000
Stade Rennais FC,2002-2003,6500000
Brescia,2002-2003,4550000
Reggina,2002-2003,6500000
Galatasaray,2002-2003,6300000
Leeds,2002-2003,4500000
PSV Eindhoven,2002-2003,8600000
AS Monaco,2002-2003,4100000
Olympique Lyonnais,2002-2003,3900000
Arsenal,2002-2003,3830000
Udinese Calcio,2002-2003,3500000
West Bromwich Albion,2002-2003,3450000
Hannover 96,2002-2003,3100000
CSKA Moscow,2002-2003,3000000
SV Werder Bremen,2002-2003,5500000
KS Samara,2002-2003,3000000
Everton,2002-2003,2850000
Bor. M'gladbach,2002-2003,2700000
Real Zaragoza,2002-2003,2700000
Ternana,2002-2003,4500000
Southampton,2002-2003,2250000
Birmingham City,2002-2003,3650000
FC Porto,2002-2003,3000000
RC Lens,2002-2003,2000000
FC Basel,2002-2003,2000000
Vitesse,2002-2003,2000000
Hertha BSC Berlin,2002-2003,1800000
Fenerbahce,2002-2003,1500000
Celtic,2002-2003,1500000
KRC Genk,2002-2003,1400000
RSC Anderlecht,2002-2003,1300000
1860 Munich,2002-2003,1300000
Grasshoppers,2002-2003,1250000
Charlton,2002-2003,1200000
Dinamo Zagreb,2002-2003,1000000
Shakhtar D.,2002-2003,1000000
AJ Auxerre,2002-2003,1000000
1.FC K'lautern,2002-2003,1000000
AZ Alkmaar,2002-2003,950000
SH Shenhua,2002-2003,950000
SSC Napoli,2002-2003,950000
Atlético-PR,2002-2003,900000
CD Cruz Azul,2002-2003,850000
Real Madrid CF,2003-2004,37500000
FC Barcelona,2003-2004,43850000
Chelsea,2003-2004,143800000
Inter,2003-2004,33200000
Arsenal,2003-2004,30250000
FC Bayern Munich,2003-2004,27000000
Manchester United,2003-2004,47200000
AS Roma,2003-2004,23250000
SL Benfica,2003-2004,15000000
Olympique Lyonnais,2003-2004,21300000
Tottenham Hotspur,2003-2004,26750000
Blackburn Rovers,2003-2004,16350000
Villarreal CF,2003-2004,9000000
Lazio,2003-2004,14830000
AC Milan,2003-2004,10250000
Birmingham City,2003-2004,10500000
Juventus,2003-2004,15000000
Feyenoord,2003-2004,11500000
US Palermo,2003-2004,11850000
Everton,2003-2004,9000000
Olympique de Marseille,2003-2004,14750000
AFC Ajax,2003-2004,9500000
Dynamo Kyiv,2003-2004,5500000
Liverpool,2003-2004,5250000
Girondins de Bordeaux,2003-2004,9500000
CSKA Moscow,2003-2004,5000000
Atlético Madrid,2003-2004,5000000
Shakhtar D.,2003-2004,6000000
Southampton,2003-2004,4850000
Chievo Verona,2003-2004,4500000
RCD Mallorca,2003-2004,4500000
AJ Auxerre,2003-2004,4000000
Sevilla FC,2003-2004,3500000
Real Zaragoza,2003-2004,3500000
Fulham,2003-2004,4500000
Spartak Moscow,2003-2004,3500000
Aston Villa,2003-2004,6380000
Paris Saint-Germain,2003-2004,7900000
Sporting CP,2003-2004,3200000
AS Monaco,2003-2004,3200000
VfB Stuttgart,2003-2004,5500000
VfL Wolfsburg,2003-2004,2850000
Manchester City,2003-2004,2800000
Trabzonspor,2003-2004,2500000
Wolverhampton Wanderers,2003-2004,4250000
Portsmouth,2003-2004,2230000
Wigan Athletic,2003-2004,2100000
