Name,Team_to,country_name,fees
,FC Barcelona,,18179590000
Neymar,FC Barcelona,,310200000
Cristiano Ronaldo,Real Madrid CF,,230000000
Neymar,Paris Saint-Germain,France,222000000
Ángel Di María,Manchester United,,179000000
Zlatan Ibrahimovic,FC Barcelona,,163100000
Philippe Coutinho,FC Barcelona,,141800000
Gonzalo Higuaín,Real Madrid CF,,141000000
Romelu Lukaku,Chelsea,England,135060000
Romelu Lukaku,Chelsea,,135060000
Kylian Mbappé,Paris Saint-Germain,France,135000000
Kylian Mbappé,Paris Saint-Germain,,135000000
Ousmane Dembélé,FC Barcelona,,130000000
Gonzalo Higuaín,SSC Napoli,Italy,129000000
James Rodríguez,Real Madrid CF,,127350000
Philippe Coutinho,FC Barcelona,Spain,125000000
Cristiano Ronaldo,Juventus,Italy,117000000
Luis Suárez,FC Barcelona,,115720000
Gareth Bale,Real Madrid CF,,115700000
Ousmane Dembélé,FC Barcelona,Spain,115000000
David Luiz,Paris Saint-Germain,,109500000
Ángel Di María,Manchester United,Spain,108000000
Kevin De Bruyne,VfL Wolfsburg,,106000000
Paul Pogba,Manchester United,England,105000000
Paul Pogba,Manchester United,,105000000
Diego Costa,Atlético Madrid,,104000000
Gareth Bale,Real Madrid CF,Spain,101000000
Fernando Torres,Liverpool,,96500000
Virgil van Dijk,Liverpool,England,94500000
Virgil van Dijk,Liverpool,,94500000
Cristiano Ronaldo,Real Madrid CF,Spain,94000000
André Schürrle,VfL Wolfsburg,,92500000
Danilo,Manchester City,,89000000
Falcao,Atlético Madrid,,88430000
Neymar,FC Barcelona,Spain,88200000
Christian Benteke,Aston Villa,England,86500000
Christian Benteke,Aston Villa,,86500000
Geoffrey Kondogbia,Sevilla FC,,85000000
Kevin De Bruyne,Manchester City,England,84000000
Julian Draxler,VfL Wolfsburg,,83000000
Arjen Robben,Real Madrid CF,,82300000
Luis Suárez,FC Barcelona,Spain,81720000
Edinson Cavani,US Palermo,,81500000
Paulinho,FC Barcelona,,78230000
Pierre-Emerick Aubameyang,Borussia Dortmund,,76750000
James Rodríguez,Real Madrid CF,Spain,75000000
Gylfi Sigurdsson,TSG 1899 Hoffenheim,,74700000
Nemanja Matic,SL Benfica,,74700000
Benjamin Mendy,AS Monaco,,74500000
Javier Pastore,AS Roma,,73700000
Mohamed Salah,AS Roma,,73500000
Álvaro Negredo,Sevilla FC,Spain,73000000
Álvaro Negredo,Sevilla FC,,73000000
Leonardo Bonucci,Juventus,Italy,72000000
Leonardo Bonucci,Juventus,,72000000
Alexis Sánchez,FC Barcelona,,71500000
Juan Mata,Chelsea,England,71430000
Juan Mata,Chelsea,,71430000
Juan Cuadrado,Fiorentina,,71000000
André Schürrle,VfL Wolfsburg,Germany,70500000
Cesc Fàbregas,FC Barcelona,,70200000
Douglas Costa,Juventus,,70000000
Mesut Özil,Real Madrid CF,,70000000
Thomas Lemar,Atlético Madrid,Spain,70000000
Thomas Lemar,Atlético Madrid,,70000000
Nemanja Matic,Manchester United,England,69700000
Gylfi Sigurdsson,Swansea City,England,69500000
Henrikh Mkhitaryan,Borussia Dortmund,,69500000
Zlatan Ibrahimovic,FC Barcelona,Spain,69500000
Lucas Moura,Paris Saint-Germain,,68400000
Riyad Mahrez,Manchester City,England,67800000
Riyad Mahrez,Manchester City,,67800000
Jorginho,SSC Napoli,,66500000
Diego Costa,Atlético Madrid,Spain,66000000
Dimitri Payet,Olympique de Marseille,,66000000
Bernardo Silva,AS Monaco,,65750000
Wilfried Bony,Vitesse,,65300000
Anthony Martial,AS Monaco,,65000000
Aymeric Laporte,Manchester City,Spain,65000000
Aymeric Laporte,Manchester City,,65000000
Klaas-Jan Huntelaar,Real Madrid CF,,65000000
Zlatan Ibrahimovic,Inter,Italy,64800000
Edinson Cavani,Paris Saint-Germain,France,64500000
Sadio Mané,Southampton,England,64200000
Sadio Mané,Southampton,,64200000
Pierre-Emerick Aubameyang,Arsenal,England,63750000
Raheem Sterling,Manchester City,England,63700000
Raheem Sterling,Manchester City,,63700000
Ángel Di María,Paris Saint-Germain,France,63000000
Mario Mandzukic,Atlético Madrid,,63000000
Ederson,OGC Nice,,62400000
Ronaldinho,FC Barcelona,,62350000
Sergio Agüero,Manchester City,Spain,61700000
Sergio Agüero,Manchester City,,61700000
Danilo,Manchester City,Spain,61500000
Wilfried Bony,Swansea City,England,61300000
Nicolás Otamendi,Valencia CF,,60600000
Anthony Martial,Manchester United,England,60000000
David Luiz,Chelsea,England,60000000
Luís Figo,Real Madrid CF,Spain,60000000
Luís Figo,Real Madrid CF,,60000000
Mario Götze,FC Bayern Munich,Germany,59000000
Mario Götze,FC Bayern Munich,,59000000
Peter Crouch,Aston Villa,England,58750000
Peter Crouch,Aston Villa,,58750000
Kyle Walker,Tottenham Hotspur,England,58600000
Kyle Walker,Tottenham Hotspur,,58600000
Andy Carroll,Liverpool,England,58500000
Andy Carroll,Liverpool,,58500000
Fernando Torres,Chelsea,England,58500000
Medhi Benatia,Juventus,,58500000
Mohamed Salah,Liverpool,England,58500000
Stevan Jovetic,Fiorentina,,58500000
Xherdan Shaqiri,Inter,,58500000
Morgan Schneiderlin,Manchester United,England,57900000
Morgan Schneiderlin,Manchester United,,57900000
Benjamin Mendy,Manchester City,England,57500000
Javier Mascherano,FC Barcelona,,57100000
André Gomes,FC Barcelona,Spain,57000000
André Gomes,FC Barcelona,,57000000
Jorginho,Chelsea,England,57000000
Nicolás Otamendi,Valencia CF,Spain,56600000
John Stones,Manchester City,England,55600000
John Stones,Manchester City,,55600000
Diego,FC Porto,,55500000
João Cancelo,Valencia CF,,55400000
Arturo Vidal,Juventus,,55200000
David Villa,FC Barcelona,Spain,54700000
David Villa,FC Barcelona,,54700000
Thiago Silva,FC Porto,,54500000
Alexandre Lacazette,Arsenal,England,53000000
Alexandre Lacazette,Arsenal,,53000000
Radja Nainggolan,AS Roma,Italy,53000000
Radja Nainggolan,AS Roma,,53000000
Gianluigi Buffon,Juventus,Italy,52880000
Gianluigi Buffon,Juventus,,52880000
Georginio Wijnaldum,PSV Eindhoven,,52500000
Edin Dzeko,AS Roma,,52000000
Manolo Gabbiadini,Sampdoria,,52000000
Paulo Dybala,Juventus,Italy,51900000
Paulo Dybala,Juventus,,51900000
Lucas Digne,FC Barcelona,,51700000
Dimitri Payet,Olympique de Marseille,France,51000000
Luka Modric,Real Madrid CF,,51000000
Ciro Immobile,Lazio,,50950000
Leroy Sané,Manchester City,England,50500000
Leroy Sané,Manchester City,,50500000
Bernardo Silva,Manchester City,England,50000000
Memphis Depay,Olympique Lyonnais,,50000000
David Luiz,Paris Saint-Germain,France,49500000
Stewart Downing,Middlesbrough,England,49500000
Stewart Downing,Middlesbrough,,49500000
Shkodran Mustafi,Valencia CF,,49000000
Emmanuel Adebayor,AS Monaco,,48600000
Kévin Gameiro,Sevilla FC,,48500000
Filipe Luís,Atlético Madrid,,48000000
Tiemoué Bakayoko,AS Monaco,,48000000
Georginio Wijnaldum,Newcastle United,England,47500000
Mamadou Sakho,Liverpool,England,47200000
Mamadou Sakho,Liverpool,,47200000
Arda Turan,FC Barcelona,Spain,47000000
Arda Turan,FC Barcelona,,47000000
Érik Lamela,AS Roma,,47000000
Mesut Özil,Arsenal,England,47000000
André Ayew,West Ham United,England,46900000
André Ayew,West Ham United,,46900000
Giampaolo Pazzini,AC Milan,Italy,46000000
Giampaolo Pazzini,AC Milan,,46000000
Javi Martínez,Athletic Club de Bilbao,,46000000
Rio Ferdinand,Manchester United,England,46000000
Rio Ferdinand,Manchester United,,46000000
Felipe Anderson,Lazio,,45500000
Mario Gómez,Fiorentina,,45500000
Emmanuel Adebayor,Tottenham Hotspur,England,45400000
Granit Xhaka,Arsenal,England,45000000
Granit Xhaka,Arsenal,,45000000
James Rodríguez,AS Monaco,France,45000000
Roberto Firmino,TSG 1899 Hoffenheim,,45000000
Yaya Touré,FC Barcelona,,44500000
James Milner,Aston Villa,England,44400000
James Milner,Aston Villa,,44400000
Antonio Rüdiger,AS Roma,,44000000
Simone Zaza,Valencia CF,,44000000
Eric Bailly,Manchester United,Spain,43700000
Eric Bailly,Manchester United,,43700000
Rafael van der Vaart,Tottenham Hotspur,,43600000
Ander Herrera,Athletic Club de Bilbao,Spain,43500000
Ander Herrera,Athletic Club de Bilbao,,43500000
Ruud van Nistelrooy,Real Madrid CF,,43500000
Samir Nasri,Manchester City,England,43500000
Samir Nasri,Manchester City,,43500000
Andriy Shevchenko,Chelsea,England,43300000
Andriy Shevchenko,Chelsea,,43300000
Dejan Lovren,Olympique Lyonnais,,43300000
Falcao,AS Monaco,France,43000000
Julian Draxler,VfL Wolfsburg,Germany,43000000
Luiz Gustavo,FC Bayern Munich,,43000000
Arturo Vidal,Bayer 04 Leverkusen,Germany,42700000
Alexis Sánchez,Arsenal,England,42500000
Henrikh Mkhitaryan,Manchester United,England,42000000
Javier Pastore,Paris Saint-Germain,France,42000000
Mateo Kovacic,Real Madrid CF,,42000000
Santi Cazorla,Málaga CF,,42000000
Thiago Silva,Paris Saint-Germain,France,42000000
Sokratis,Genoa,,41700000
João Moutinho,FC Porto,,41600000
Joaquín Correa,Sevilla FC,,41600000
Marquinhos,AS Roma,,41600000
Corentin Tolisso,FC Bayern Munich,Germany,41500000
Corentin Tolisso,FC Bayern Munich,,41500000
Florian Thauvin,Olympique de Marseille,,41350000
Roberto Firmino,Liverpool,England,41000000
Shkodran Mustafi,Arsenal,England,41000000
Davy Klaassen,SV Werder Bremen,,40500000
João Cancelo,Juventus,Italy,40400000
Carlos Bacca,Sevilla FC,,40000000
Douglas Costa,Juventus,Italy,40000000
Ederson,Manchester City,England,40000000
Falcao,Atlético Madrid,Spain,40000000
Federico Bernardeschi,Juventus,Italy,40000000
Federico Bernardeschi,Juventus,,40000000
Fernandinho,Manchester City,England,40000000
Fernandinho,Manchester City,,40000000
Javi Martínez,FC Bayern Munich,Germany,40000000
João Mário,Inter,Italy,40000000
João Mário,Inter,,40000000
Juan Cuadrado,Fiorentina,Italy,40000000
Julian Draxler,Paris Saint-Germain,France,40000000
Lucas Moura,Paris Saint-Germain,France,40000000
Paulinho,FC Barcelona,Switzerland,40000000
Tiemoué Bakayoko,Chelsea,England,40000000
Yoann Gourcuff,Girondins de Bordeaux,,40000000
Yuri Berchiche,Athletic Club de Bilbao,,40000000
Ezequiel Garay,Valencia CF,,39500000
Yaya Touré,FC Barcelona,Spain,39000000
Aleksandar Mitrovic,Fulham,England,38700000
Aleksandar Mitrovic,Fulham,,38700000
Benik Afobe,Stoke City,England,38200000
Benik Afobe,Stoke City,,38200000
André Silva,AC Milan,Italy,38000000
André Silva,AC Milan,,38000000
Diego Costa,Chelsea,England,38000000
Felipe Anderson,West Ham United,England,38000000
Fernando Torres,Liverpool,Spain,38000000
Danny Drinkwater,Chelsea,England,37900000
Danny Drinkwater,Chelsea,,37900000
Kévin Gameiro,Sevilla FC,Spain,37500000
Luke Shaw,Manchester United,England,37500000
Luke Shaw,Manchester United,,37500000
Eliaquim Mangala,FC Porto,,37250000
Fabio Borini,AS Roma,,37100000
Javier Mascherano,West Ham United,England,37100000
Edin Dzeko,Manchester City,England,37000000
Michael Owen,Newcastle United,Spain,37000000
Michael Owen,Newcastle United,,37000000
Stefan Savic,Atlético Madrid,,37000000
Wayne Rooney,Manchester United,England,37000000
Wayne Rooney,Manchester United,,37000000
Ricardo Quaresma,FC Barcelona,,36950000
Loïc Rémy,OGC Nice,,36700000
Lucas Digne,FC Barcelona,Spain,36700000
Hakan Calhanoglu,AC Milan,,36500000
Cesc Fàbregas,Arsenal,England,36200000
Geoffrey Kondogbia,Inter,Italy,36000000
Isco,Málaga CF,Spain,36000000
Isco,Málaga CF,,36000000
Rodrigo,Valencia CF,,36000000
Vitolo,Atlético Madrid,Spain,36000000
Vitolo,Atlético Madrid,,36000000
Fabio Quagliarella,Juventus,Italy,35800000
Fabio Quagliarella,Juventus,,35800000
Alex Sandro,FC Porto,,35600000
Dani Alves,FC Barcelona,Spain,35500000
Dani Alves,FC Barcelona,,35500000
Willian,Chelsea,England,35500000
Willian,Chelsea,,35500000
Dejan Lovren,Southampton,England,35300000
Robin van Persie,Manchester United,England,35200000
Robin van Persie,Manchester United,,35200000
Antonio Rüdiger,Chelsea,England,35000000
Arjen Robben,Real Madrid CF,Spain,35000000
Eden Hazard,Chelsea,England,35000000
Eden Hazard,Chelsea,,35000000
Karim Benzema,Real Madrid CF,Spain,35000000
Karim Benzema,Real Madrid CF,,35000000
Lazar Markovic,SL Benfica,,35000000
Lukas Podolski,1. FC Köln,,35000000
Manolo Gabbiadini,Sampdoria,Italy,35000000
Moussa Sissoko,Tottenham Hotspur,England,35000000
Moussa Sissoko,Tottenham Hotspur,,35000000
Renato Sanches,FC Bayern Munich,Germany,35000000
Renato Sanches,FC Bayern Munich,,35000000
Serge Aurier,Paris Saint-Germain,,35000000
Victor Lindelöf,Manchester United,England,35000000
Victor Lindelöf,Manchester United,,35000000
Ezequiel Lavezzi,SSC Napoli,,34550000
Joe Allen,Liverpool,England,34500000
Joe Allen,Liverpool,,34500000
Cesc Fàbregas,FC Barcelona,Spain,34000000
Claude Makélélé,Real Madrid CF,,34000000
Ezequiel Garay,Valencia CF,Spain,34000000
Memphis Depay,Manchester United,England,34000000
Nani,Valencia CF,,34000000
Daley Blind,AFC Ajax,,33500000
Luis Muriel,Sevilla FC,,33500000
Joaquín Correa,Sevilla FC,Spain,33200000
Blaise Matuidi,Juventus,,33000000
Luiz Gustavo,FC Bayern Munich,Germany,33000000
Theo Walcott,Arsenal,England,33000000
Theo Walcott,Arsenal,,33000000
Ilkay Gündogan,Borussia Dortmund,,32500000
Ivan Perisic,Inter,,32500000
Raúl Jiménez,Atlético Madrid,,32500000
Ronaldinho,FC Barcelona,Spain,32250000
Arkadiusz Milik,SSC Napoli,Italy,32000000
Arkadiusz Milik,SSC Napoli,,32000000
Iñigo Martínez,Athletic Club de Bilbao,Spain,32000000
Iñigo Martínez,Athletic Club de Bilbao,,32000000
Oscar,Chelsea,England,32000000
Oscar,Chelsea,,32000000
Pepe,Real Madrid CF,,32000000
Petr Cech,Stade Rennais FC,,32000000
Arouna Koné,Sevilla FC,,31800000
Javier Pastore,AS Roma,Italy,31700000
Roberto,Atlético Madrid,,31700000
Xherdan Shaqiri,Liverpool,England,31700000
Lassana Diarra,Real Madrid CF,,31500000
Marquinhos,Paris Saint-Germain,France,31400000
Andros Townsend,Newcastle United,England,31300000
Andros Townsend,Newcastle United,,31300000
Ashley Young,Aston Villa,England,31200000
Ashley Young,Aston Villa,,31200000
Javi García,Real Madrid CF,,31200000
Adam Lallana,Liverpool,England,31000000
Adam Lallana,Liverpool,,31000000
Gerard Deulofeu,Everton,,31000000
Guido Carrillo,AS Monaco,,31000000
Juan Cuadrado,Chelsea,England,31000000
Mateo Kovacic,Real Madrid CF,Spain,31000000
Thomas Vermaelen,FC Barcelona,,31000000
Dusan Tadic,AFC Ajax,,30900000
Alessandro Nesta,AC Milan,Italy,30500000
Alessandro Nesta,AC Milan,,30500000
Eliaquim Mangala,Manchester City,England,30500000
Islam Slimani,Leicester City,England,30500000
Islam Slimani,Leicester City,,30500000
Medhi Benatia,Juventus,Italy,30500000
Lisandro López,SL Benfica,,30300000
Antoine Griezmann,Atlético Madrid,Spain,30000000
Antoine Griezmann,Atlético Madrid,,30000000
Carlos Bacca,AC Milan,Italy,30000000
Claudio Bravo,Manchester City,Spain,30000000
Claudio Bravo,Manchester City,,30000000
Douglas Costa,FC Bayern Munich,Germany,30000000
Érik Lamela,Tottenham Hotspur,England,30000000
Fábio Coentrão,Real Madrid CF,Spain,30000000
Fábio Coentrão,Real Madrid CF,,30000000
