Team_to,Season,country_name,fees
Arsenal,2000-2001,England,42600000
Liverpool,2000-2001,England,9000000
Chelsea,2000-2001,England,9400000
Sunderland,2000-2001,England,4700000
Manchester City,2000-2001,England,4500000
Everton,2000-2001,England,6130000
Fulham,2000-2001,England,3150000
West Bromwich Albion,2000-2001,England,3000000
Newcastle United,2000-2001,England,3000000
West Ham United,2000-2001,England,2600000
Leicester City,2000-2001,England,2500000
Manchester United,2001-2002,England,82100000
Chelsea,2001-2002,England,44800000
Arsenal,2001-2002,England,13500000
Fulham,2001-2002,England,22500000
Newcastle United,2001-2002,England,16500000
Liverpool,2001-2002,England,21700000
Aston Villa,2001-2002,England,14300000
Everton,2001-2002,England,6750000
Southampton,2001-2002,England,8650000
West Ham United,2001-2002,England,4800000
Leicester City,2001-2002,England,4500000
Wolverhampton Wanderers,2001-2002,England,4500000
Middlesbrough,2001-2002,England,5300000
Portsmouth,2001-2002,England,2250000
Manchester United,2002-2003,England,48230000
Manchester City,2002-2003,England,35300000
Newcastle United,2002-2003,England,33050000
Middlesbrough,2002-2003,England,25260000
Tottenham Hotspur,2002-2003,England,10500000
Liverpool,2002-2003,England,16500000
Arsenal,2002-2003,England,3830000
West Bromwich Albion,2002-2003,England,3450000
Everton,2002-2003,England,2850000
Southampton,2002-2003,England,2250000
Birmingham City,2002-2003,England,3650000
Chelsea,2003-2004,England,143800000
Arsenal,2003-2004,England,30250000
Manchester United,2003-2004,England,47200000
Tottenham Hotspur,2003-2004,England,26750000
Blackburn Rovers,2003-2004,England,16350000
Birmingham City,2003-2004,England,10500000
Everton,2003-2004,England,9000000
Liverpool,2003-2004,England,5250000
Southampton,2003-2004,England,4850000
Fulham,2003-2004,England,4500000
Aston Villa,2003-2004,England,6380000
Manchester City,2003-2004,England,2800000
Wolverhampton Wanderers,2003-2004,England,4250000
Portsmouth,2003-2004,England,2230000
Wigan Athletic,2003-2004,England,2100000
Middlesbrough,2003-2004,England,2000000
Club Brugge,2003-2004,England,1200000
Chelsea,2004-2005,England,165500000
Manchester United,2004-2005,England,61250000
Liverpool,2004-2005,England,54000000
Newcastle United,2004-2005,England,28450000
Birmingham City,2004-2005,England,11570000
Everton,2004-2005,England,11200000
Fulham,2004-2005,England,12000000
Tottenham Hotspur,2004-2005,England,33000000
Middlesbrough,2004-2005,England,6750000
Norwich City,2004-2005,England,6000000
Arsenal,2004-2005,England,11700000
Aston Villa,2004-2005,England,8840000
Southampton,2004-2005,England,6000000
Portsmouth,2004-2005,England,2500000
West Bromwich Albion,2004-2005,England,4000000
Crystal Palace,2004-2005,England,2250000
Blackburn Rovers,2004-2005,England,2250000
Wolverhampton Wanderers,2004-2005,England,3800000
Chelsea,2005-2006,England,91200000
Tottenham Hotspur,2005-2006,England,30910000
Arsenal,2005-2006,England,45500000
West Ham United,2005-2006,England,18890000
Liverpool,2005-2006,England,31560000
Newcastle United,2005-2006,England,39000000
Manchester City,2005-2006,England,12100000
Manchester United,2005-2006,England,14000000
Blackburn Rovers,2005-2006,England,7500000
Wigan Athletic,2005-2006,England,10120000
Everton,2005-2006,England,10050000
Aston Villa,2005-2006,England,4700000
Birmingham City,2005-2006,England,4500000
West Bromwich Albion,2005-2006,England,6750000
Portsmouth,2005-2006,England,3000000
Middlesbrough,2005-2006,England,2710000
Fulham,2005-2006,England,4300000
Chelsea,2006-2007,England,67900000
Manchester United,2006-2007,England,27200000
Liverpool,2006-2007,England,42700000
Newcastle United,2006-2007,England,31500000
Tottenham Hotspur,2006-2007,England,57800000
West Ham United,2006-2007,England,58800000
Aston Villa,2006-2007,England,23200000
Bolton Wanderers,2006-2007,England,15000000
Arsenal,2006-2007,England,15000000
Middlesbrough,2006-2007,England,8900000
Wigan Athletic,2006-2007,England,18900000
Everton,2006-2007,England,6500000
Birmingham City,2006-2007,England,10450000
Portsmouth,2006-2007,England,4500000
Fulham,2006-2007,England,11250000
Reading,2006-2007,England,4500000
Blackburn Rovers,2006-2007,England,7080000
Crystal Palace,2006-2007,England,3750000
Manchester City,2006-2007,England,6000000
Sunderland,2006-2007,England,3000000
Manchester United,2007-2008,England,86300000
Tottenham Hotspur,2007-2008,England,87150000
Chelsea,2007-2008,England,59000000
Liverpool,2007-2008,England,82550000
Arsenal,2007-2008,England,26850000
Manchester City,2007-2008,England,65500000
Aston Villa,2007-2008,England,18000000
West Ham United,2007-2008,England,42100000
Sunderland,2007-2008,England,40720000
Portsmouth,2007-2008,England,45800000
Newcastle United,2007-2008,England,30600000
Fulham,2007-2008,England,28200000
Middlesbrough,2007-2008,England,25900000
Everton,2007-2008,England,17700000
Birmingham City,2007-2008,England,17500000
Wigan Athletic,2007-2008,England,10900000
Bolton Wanderers,2007-2008,England,10700000
Blackburn Rovers,2007-2008,England,5000000
Manchester United,2008-2009,England,45000000
Liverpool,2008-2009,England,65300000
Manchester City,2008-2009,England,157350000
Tottenham Hotspur,2008-2009,England,137250000
Everton,2008-2009,England,21760000
Arsenal,2008-2009,England,38900000
Aston Villa,2008-2009,England,45700000
Portsmouth,2008-2009,England,24450000
Bolton Wanderers,2008-2009,England,19000000
Chelsea,2008-2009,England,10000000
Sunderland,2008-2009,England,20500000
West Ham United,2008-2009,England,14800000
Stoke City,2008-2009,England,14800000
Wigan Athletic,2008-2009,England,20000000
Hull City,2008-2009,England,5300000
Middlesbrough,2008-2009,England,12800000
Newcastle United,2008-2009,England,33280000
Blackburn Rovers,2008-2009,England,4400000
Fulham,2008-2009,England,4100000
West Bromwich Albion,2008-2009,England,13900000
Manchester City,2009-2010,England,147300000
Chelsea,2009-2010,England,28250000
Liverpool,2009-2010,England,40500000
Manchester United,2009-2010,England,27400000
Sunderland,2009-2010,England,42300000
Aston Villa,2009-2010,England,44000000
Arsenal,2009-2010,England,12000000
Tottenham Hotspur,2009-2010,England,37500000
Everton,2009-2010,England,23300000
Wolverhampton Wanderers,2009-2010,England,7600000
Blackburn Rovers,2009-2010,England,11000000
Stoke City,2009-2010,England,19950000
West Ham United,2009-2010,England,14100000
Birmingham City,2009-2010,England,16700000
