Team_to,country_name,fees
Manchester City,England,1
Chelsea,England,2
Real Madrid CF,Spain,3
FC Barcelona,Spain,4
Manchester United,England,5
Juventus,Italy,6
Liverpool,England,7
Paris Saint-Germain,France,8
Inter,Italy,9
Tottenham Hotspur,England,10
Atlético Madrid,Spain,11
AC Milan,Italy,12
Arsenal,England,13
FC Bayern Munich,Germany,14
AS Roma,Italy,15
AS Monaco,France,16
Everton,England,17
Valencia CF,Spain,18
SSC Napoli,Italy,19
Newcastle United,England,20
Borussia Dortmund,Germany,21
West Ham United,England,22
VfL Wolfsburg,Germany,23
Southampton,England,24
Olympique de Marseille,France,25
Olympique Lyonnais,France,26
Sevilla FC,Spain,27
Villarreal CF,Spain,28
Aston Villa,England,29
Bayer 04 Leverkusen,Germany,30
Fiorentina,Italy,31
Lazio,Italy,32
Leicester City,England,33
SL Benfica,Portugal,34
FC Porto,Portugal,35
Sunderland,England,36
Genoa,Italy,37
Stoke City,England,38
FC Schalke 04,Germany,39
Fulham,England,40
Middlesbrough,England,41
West Bromwich Albion,England,42
Watford,England,43
Crystal Palace,England,44
Hamburger SV,Germany,45
AFC Ajax,Netherlands,46
US Palermo,Italy,47
Sampdoria,Italy,48
Swansea City,England,49
Parma,Italy,50
Stade Rennais FC,France,51
PSV Eindhoven,Netherlands,52
Wolverhampton Wanderers,England,53
Real Betis,Spain,54
Bournemouth,England,55
TSG 1899 Hoffenheim,Germany,56
SV Werder Bremen,Germany,57
LOSC Lille,France,58
Girondins de Bordeaux,France,59
Udinese Calcio,Italy,60
Athletic Club de Bilbao,Spain,61
Birmingham City,England,62
Hull City,England,63
Wigan Athletic,England,64
Torino,Italy,65
Portsmouth,England,66
Sporting CP,Portugal,67
VfB Stuttgart,Germany,68
Real Sociedad,Spain,69
Sassuolo,Italy,70
AS Saint-Étienne,England,71
Norwich City,England,72
Blackburn Rovers,England,73
Burnley,England,74
Atalanta,Italy,75
RC Deportivo de La Coruña,France,76
Bologna,Italy,77
Málaga CF,Spain,78
Real Zaragoza,Spain,79
Cagliari Calcio,Italy,80
RCD Espanyol,Spain,81
Celtic,Scotland,82
Queens Park Rangers,Scotland,83
Bolton Wanderers,England,84
OGC Nice,France,85
Feyenoord,Netherlands,86
Brescia,Italy,87
Getafe CF,Spain,88
Hertha BSC Berlin,Germany,89
Toulouse FC,France,90
1. FC Köln,Germany,91
FC Twente,Netherlands,92
Hannover 96,Germany,93
RC Celta de Vigo,Spain,94
1. FSV Mainz 05,Germany,95
RC Lens,France,96
RCD Mallorca,Spain,97
AZ Alkmaar,Netherlands,98
AJ Auxerre,France,99
Bari,Italy,100
FC Nantes,France,101
Chievo Verona,Italy,102
Reading,England,103
Siena,Italy,104
SC Freiburg,Germany,105
SC Braga,Italy,106
Granada CF,Spain,107
FC Basel,Switzerland,108
RC Cesena,Italy,109
Eintracht Frankfurt,Germany,110
Catania,Italy,111
UD Almería,Spain,112
Standard Liège,England,113
Vitesse,Netherlands,113
FC Sochaux-Montbéliard,France,115
FC Lorient,France,115
FC Empoli,Italy,115
Montpellier Hérault SC,France,118
Le Mans FC,Italy,119
Hellas Verona,Italy,120
Pescara,Italy,121
FC Augsburg,Germany,122
Lecce,Italy,122
RSC Anderlecht,Portugal,124
AS Livorno,Spain,124
SM Caen,France,126
FC Utrecht,Netherlands,127
FC Groningen,Netherlands,128
CA Osasuna,Spain,129
Club Brugge,England,130
