league_to,season,market_value,transfert_fee
France Ligue 1,2013,38000000,42000000
Germany 1. Bundesliga,2013,30000000,40000000
Portugal Liga ZON Sagres,2013,37000000,40000000
England Premier League,2013,33000000,35000000
Premier Liga,2013,25000000,35000000
Spain LIGA BBVA,2013,40000000,30000000
Italy Serie A,2013,24000000,20000000
Liga MX Apertura,2019,5500000,14500000
Segunda División - Segunda Fase,2016,7500000,11000000
Professional League,2019,5000000,10240000
Süper Lig,2013,6000000,8600000
Switzerland Super League,2013,10000000,8500000
MLS,2017,5500000,7500000
Scotland Premier League,2016,2000000,7500000
 Uruguay,2017,200000,6750000
Ledman Liga Pro,2016,1750000,6600000
Liga MX Clausura,2015,1800000,6600000
Netherlands Eredivisie,2013,8000000,6000000
2.Bundesliga,2015,8000000,5000000
Jupiler Pro League,2014,3000000,5000000
Torneo Final,2014,2000000,4800000
UAE Gulf League,2013,1000000,4500000
Bundesliga,2013,500000,4000000
Stars League,2013,5000000,4000000
" Korea,uth",2003,0
