Team_to,Position,country_name,fees
Wolverhampton Wanderers,,England,33106240000
Manchester City,,England,1744560000
Chelsea,,England,1706600000
Real Madrid CF,,Spain,1595050000
FC Barcelona,,Spain,1556440000
Manchester United,,England,1448760000
Juventus,,Italy,1355440000
Liverpool,,England,1339270000
Paris Saint-Germain,,France,1218500000
Inter,,Italy,1010590000
Tottenham Hotspur,,Spain,912910000
Atlético Madrid,,Spain,851310000
AC Milan,,Italy,842150000
Arsenal,,England,827210000
FC Bayern Munich,,Germany,771650000
AS Roma,,Italy,716130000
AS Monaco,,France,594610000
Everton,,England,588700000
Valencia CF,,Spain,587150000
SSC Napoli,,Italy,544900000
Newcastle United,,England,484580000
Borussia Dortmund,,Germany,482740000
West Ham United,,England,471940000
VfL Wolfsburg,,Germany,448250000
Chelsea,Centre-Forward,England,426750000
Southampton,,England,403190000
Juventus,Centre-Forward,Italy,401040000
Olympique de Marseille,,France,388250000
Olympique Lyonnais,,France,383600000
Sevilla FC,,Spain,373000000
Manchester City,Centre-Forward,Spain,355400000
Villarreal CF,,Spain,347550000
Aston Villa,,England,346320000
AC Milan,Centre-Forward,Italy,333600000
Real Madrid CF,Attacking Midfield,Spain,333500000
Bayer 04 Leverkusen,,Germany,331180000
Manchester City,Centre-Back,England,329500000
Manchester United,Central Midfield,England,324500000
Fiorentina,,Italy,324100000
FC Barcelona,Centre-Forward,Spain,304720000
Lazio,,Italy,300040000
Leicester City,,England,295300000
SL Benfica,,Portugal,295050000
FC Porto,,Portugal,290770000
Sunderland,,England,283120000
Liverpool,Centre-Forward,England,279680000
Paris Saint-Germain,Left Winger,France,277000000
Atlético Madrid,Centre-Forward,Spain,275300000
Real Madrid CF,Centre-Forward,Spain,275000000
Inter,Centre-Forward,Italy,252690000
Paris Saint-Germain,Right Winger,France,249500000
Real Madrid CF,Right Winger,Spain,244000000
Chelsea,Defensive Midfield,England,238300000
Genoa,,Italy,232680000
Manchester United,Centre-Forward,England,231400000
Manchester City,Right Winger,England,227950000
Stoke City,,England,225550000
FC Schalke 04,,Germany,222250000
Arsenal,Centre-Forward,England,221050000
Tottenham Hotspur,Centre-Forward,England,219050000
Chelsea,Centre-Back,England,217200000
FC Barcelona,Attacking Midfield,Spain,216250000
Atlético Madrid,Left Winger,Spain,207960000
Fulham,,England,201630000
Middlesbrough,,England,201470000
West Bromwich Albion,,England,201330000
Chelsea,Central Midfield,England,201300000
Watford,,England,200280000
FC Barcelona,Right Winger,Spain,199850000
Crystal Palace,,England,198570000
Hamburger SV,,Germany,195900000
AFC Ajax,,Netherlands,194400000
FC Barcelona,Central Midfield,Spain,192000000
FC Barcelona,Left Winger,Spain,188200000
SSC Napoli,Centre-Forward,Italy,188050000
Real Madrid CF,Defensive Midfield,Spain,183000000
Manchester United,Centre-Back,England,181550000
Tottenham Hotspur,Centre-Back,England,180850000
US Palermo,,Italy,179700000
Liverpool,Central Midfield,England,179400000
Inter,Centre-Back,Italy,174300000
Manchester City,Left Winger,England,170000000
Valencia CF,Centre-Forward,Spain,169600000
Sampdoria,,Italy,164300000
Paris Saint-Germain,Centre-Back,France,164000000
Inter,Central Midfield,Italy,163500000
Swansea City,,England,163300000
Real Madrid CF,Centre-Back,Spain,162300000
Parma,,Italy,161800000
