Team_to,country_name,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,Total
1. FC Köln,Germany,,,,,,,,,,10000000,,,,,,,,24000000,,34000000
1. FSV Mainz 05,Germany,,,,,,,2800000,,,,,,,5000000,,,6500000,,14000000,28300000
AC Milan,Italy,19000000,122500000,64000000,10250000,,33500000,38050000,29000000,59250000,15000000,30850000,47000000,48000000,31500000,11250000,83000000,16500000,158000000,25500000,842150000
AFC Ajax,Netherlands,5300000,15500000,,9500000,4900000,14300000,,7500000,27250000,12000000,5000000,4000000,4000000,,7000000,6000000,23000000,7500000,41650000,194400000
AJ Auxerre,France,,,1000000,4000000,,5000000,12300000,,,,,,,,,,,,,22300000
AS Livorno,Spain,,,,,,,,6000000,,,,,,,,,,,,6000000
AS Monaco,France,,13000000,4100000,3200000,13000000,6000000,12000000,12000000,,4000000,7000000,10500000,21000000,157000000,36750000,76060000,39000000,120000000,60000000,594610000
AS Roma,Italy,57200000,47500000,,23250000,36200000,,16000000,48800000,27000000,3500000,8000000,69430000,22450000,60500000,55950000,21500000,65000000,57900000,95950000,716130000
AS Saint-Étienne,England,,,,,,,,,,14700000,,,,,,,,,,14700000
AS Saint-Étienne,France,,,,,,6000000,6000000,9000000,4000000,,,,4000000,14500000,,7500000,,10000000,7000000,68000000
AZ Alkmaar,Netherlands,,,950000,,,,6500000,15000000,,,,,,,,,,,,22450000
Arsenal,England,42600000,13500000,3830000,30250000,11700000,45500000,15000000,26850000,38900000,12000000,23000000,56100000,56000000,47000000,112730000,26500000,100000000,116750000,49000000,827210000
Aston Villa,England,,14300000,,6380000,8840000,4700000,23200000,18000000,45700000,44000000,31200000,19050000,16350000,11200000,10200000,60500000,32700000,,,346320000
Atalanta,Italy,,2500000,,,,,,,10500000,4500000,4700000,5300000,10050000,4200000,,,,13500000,22000000,77250000
Athletic Club de Bilbao,Spain,,,,,,3000000,6000000,5800000,,,,7500000,,12000000,,8000000,,32000000,24000000,98300000
Atlético Madrid,Spain,,,9500000,5000000,11300000,24000000,41700000,78000000,20000000,13500000,31250000,79500000,3500000,30000000,111000000,136860000,53200000,102000000,101000000,851310000
Bari,Italy,2500000,,,,2000000,,,,,10500000,4500000,,,,,,,,,19500000
Bayer 04 Leverkusen,Germany,15750000,3250000,13500000,,3500000,,9280000,9900000,5200000,3800000,,18500000,16700000,15000000,34800000,46000000,51500000,54000000,30500000,331180000
Birmingham City,England,,,3650000,10500000,11570000,4500000,10450000,17500000,,16700000,22800000,,,,,,,,,97670000
Blackburn Rovers,England,,,,16350000,2250000,7500000,7080000,5000000,4400000,11000000,4000000,6800000,13900000,,,,,,,78280000
Bologna,Italy,,,,,,,,,14300000,8500000,3360000,4860000,,,,8500000,6500000,,25000000,71020000
Bolton Wanderers,England,,,,,,,15000000,10700000,19000000,,,3600000,,,,,,,,48300000
Borussia Dortmund,Germany,14500000,10300000,8500000,,,,2900000,,4500000,8400000,4750000,11000000,22600000,50400000,65200000,11000000,117350000,98340000,53000000,482740000
Bournemouth,England,,,,,,,,,,,,,,,,43950000,31500000,34300000,23300000,133050000
Brescia,Italy,,15500000,4550000,,,,,7000000,,5000000,4200000,,,,,,,,,36250000
Burnley,England,,,,,,,,,,4700000,,,,,,12400000,35500000,25500000,,78100000
CA Osasuna,Spain,,,,1800000,,,,,,,,,,,,,,,,1800000
Cagliari Calcio,Italy,,,,,,5000000,,,16500000,4500000,3800000,,,,,,,7600000,16500000,53900000
Catania,Italy,,,,,3200000,,,,,4000000,,,3800000,,,,,,,11000000
Celtic,Scotland,2250000,,1500000,,,7300000,8400000,11100000,,4400000,,,,,,7500000,,,10300000,52750000
Chelsea,England,9400000,44800000,,143800000,165500000,91200000,67900000,59000000,10000000,28250000,118500000,92650000,103800000,123000000,135200000,66000000,132800000,257800000,57000000,1706600000
Chievo Verona,Italy,2330000,,,4500000,,,3000000,,,,,,6500000,,,,,,,16330000
Club Brugge,England,,,,1200000,,,,,,,,,,,,,,,,1200000
Crystal Palace,England,,,,,2250000,,3750000,,,,,,,5300000,20470000,23900000,97900000,45000000,,198570000
Eintracht Frankfurt,Germany,,,,,,,,,,,,,,,,,,7000000,5000000,12000000
Everton,England,6130000,6750000,2850000,9000000,11200000,10050000,6500000,17700000,21760000,23300000,,6600000,17900000,26300000,40160000,42800000,83100000,197200000,59400000,588700000
FC Augsburg,Germany,,,,,,,,,,,,,,,,,7000000,,,7000000
FC Barcelona,Spain,55000000,65900000,,43850000,69000000,,26000000,68000000,96000000,88500000,72500000,60000000,33000000,101200000,162720000,51000000,121500000,334370000,107900000,1556440000
FC Basel,Switzerland,,3000000,2000000,1600000,1750000,,,,,,,,,,,,,,4500000,12850000
FC Bayern Munich,Germany,,15700000,15500000,27000000,23250000,8500000,24000000,91000000,,62700000,17000000,49000000,69500000,62000000,47000000,76000000,70000000,103500000,10000000,771650000
FC Empoli,Italy,,,,,,,,,,,,,,,,,,,9000000,9000000
FC Groningen,Netherlands,,,,,,,,4000000,,,,,,,,,,,,4000000
FC Lorient,France,,,,,,,,,,,,,9000000,,,,,,,9000000
FC Nantes,France,,3800000,5500000,,,2700000,2500000,,3900000,,,,,,,,,,,18400000
FC Porto,Portugal,,,3000000,,42300000,12550000,,4000000,23500000,16930000,28350000,35350000,8890000,28000000,36400000,10500000,13000000,20000000,8000000,290770000
FC Schalke 04,Germany,,,13250000,1800000,,11900000,,5000000,15500000,,25000000,3800000,4000000,18000000,,26000000,30500000,39500000,28000000,222250000
FC Sochaux-Montbéliard,France,,,,,3000000,2000000,,,,,,,,,,,,,,5000000
FC Sochaux-Montbéliard,Switzerland,,,,,,,,,,4000000,,,,,,,,,,4000000
FC Twente,Netherlands,,,,,,,,,,5500000,10500000,5500000,11500000,,,,,,,33000000
FC Utrecht,Netherlands,,,,,,,,,,,,4800000,,,,,,,,4800000
Feyenoord,Netherlands,4700000,5500000,,11500000,,2500000,2500000,5000000,5000000,3500000,,,,,,,,,,40200000
Fiorentina,Italy,17000000,,,,47000000,27000000,14800000,14500000,34800000,23000000,18300000,4500000,24700000,49000000,,15000000,,17000000,17500000,324100000
Fulham,England,3150000,22500000,,4500000,12000000,4300000,11250000,28200000,4100000,4000000,,12000000,5000000,25300000,,,,9130000,56200000,201630000
Genoa,Italy,,,,,,,,,42800000,61300000,55700000,25500000,15000000,8880000,,,,,23500000,232680000
Getafe CF,Spain,,,,,,,,10000000,10500000,4000000,,,,6000000,,,,,5000000,35500000
Girondins de Bordeaux,France,,12000000,10500000,9500000,,,9000000,13400000,6500000,25500000,8000000,,,,,,,15500000,,109900000
Granada CF,Spain,,,,,,,,,,,,8500000,5000000,,,,,,,13500000
Hamburger SV,Germany,,,,,5300000,7600000,20300000,6500000,30500000,29000000,13000000,4000000,24500000,,19000000,6500000,29700000,,,195900000
Hannover 96,Germany,,,3100000,,,,,4500000,,,,,,,9300000,,,9000000,6000000,31900000
Hellas Verona,Italy,4000000,3870000,,,,,,,,,,,,,,,,,,7870000
Hertha BSC Berlin,Germany,,6250000,1800000,,1500000,,2600000,4300000,,,,,,,4000000,,,8000000,6500000,34950000
Hull City,England,,,,,,,,,5300000,7500000,,,,22100000,35300000,,24400000,,,94600000
Inter,Italy,43250000,64190000,63000000,33200000,5950000,28000000,46600000,36500000,47700000,94200000,40700000,32900000,67800000,50250000,8000000,78000000,110350000,99000000,61000000,1010590000
Juventus,Italy,23240000,107080000,34740000,15000000,67900000,27700000,4000000,36500000,32550000,55300000,47000000,95930000,69700000,33300000,39600000,141000000,181800000,121200000,221900000,1355440000
LOSC Lille,France,,,,,,,3000000,,15000000,6500000,,17000000,10000000,,,,7000000,52500000,,111000000
Lazio,Italy,56810000,5000000,11500000,14830000,8000000,6000000,9650000,,7500000,20200000,25000000,15000000,,24100000,11500000,28500000,17450000,,39000000,300040000
Le Mans FC,Italy,,,,,,3500000,4500000,,,,,,,,,,,,,8000000
Lecce,Italy,,7000000,,,,,,,,,,,,,,,,,,7000000
Leicester City,England,2500000,4500000,,,,,,,,,3600000,,,,19100000,40600000,83100000,80900000,61000000,295300000
Liverpool,England,9000000,21700000,16500000,5250000,54000000,31560000,42700000,82550000,65300000,40500000,89980000,65200000,64300000,55900000,149430000,120500000,74900000,167800000,182200000,1339270000
Manchester City,England,4500000,,35300000,2800000,,12100000,6000000,65500000,157350000,147300000,183610000,87250000,61950000,116000000,85800000,203000000,201100000,307200000,67800000,1744560000
Manchester United,England,,82100000,48230000,47200000,61250000,14000000,27200000,86300000,45000000,27400000,21800000,62300000,76450000,77130000,186000000,156000000,185000000,164400000,81000000,1448760000
Middlesbrough,England,,5300000,25260000,2000000,6750000,2710000,8900000,25900000,12800000,4300000,,,,,,25400000,32750000,35700000,13700000,201470000
Montpellier Hérault SC,France,,,,,,,,,,,,,8500000,,,,,,,8500000
Málaga CF,Spain,,,,,,,,,,,7100000,54700000,,,,,,,,61800000
Newcastle United,England,3000000,16500000,33050000,,28450000,39000000,31500000,30600000,33280000,,10280000,22650000,22700000,,41020000,106550000,37200000,28800000,,484580000
Norwich City,England,,,,,6000000,,,,,,,3850000,,21800000,9500000,31900000,9400000,,,82450000
OGC Nice,France,,,,,,2500000,11500000,,8000000,,,,,,,,,10000000,15000000,47000000
Olympique Lyonnais,France,,8800000,3900000,21300000,26250000,45800000,21950000,26100000,43800000,79200000,28000000,,,,,34500000,16000000,28000000,,383600000
Olympique de Marseille,France,,11500000,,14750000,24000000,13500000,6000000,27000000,32000000,37500000,41500000,8500000,,24700000,20500000,7500000,46300000,44000000,29000000,388250000
PSV Eindhoven,Netherlands,14000000,8400000,8600000,,9500000,5000000,12000000,12900000,4000000,4000000,7300000,25000000,4100000,8000000,5500000,7000000,,8000000,11000000,154300000
Paris Saint-Germain,France,47950000,18100000,11000000,7900000,25000000,14500000,9000000,10000000,8000000,12200000,5000000,92900000,149950000,135900000,49500000,116100000,132500000,238000000,135000000,1218500000
Parma,Italy,,45700000,48500000,1800000,,4150000,,10200000,,13600000,20000000,,12100000,,5750000,,,,,161800000
Pescara,Italy,,,,,,,,,,,,,7400000,,,,,,,7400000
Portsmouth,England,,2250000,,2230000,2500000,3000000,4500000,45800000,24450000,4500000,,,,,,,,,,89230000
Queens Park Rangers,Scotland,3000000,9750000,7900000,,10750000,,3000000,,12300000,,4900000,,,,,,,,,51600000
RC Celta de Vigo,Spain,,,,,,,4000000,,,,,,,,,,,13000000,14000000,31000000
RC Cesena,Italy,,,,,,,,,,3500000,,9000000,,,,,,,,12500000
RC Deportivo de La Coruña,France,,,,,,,,,,,,,,,,,,,6000000,6000000
RC Deportivo de La Coruña,Spain,9600000,35300000,,,5000000,,4640000,7000000,,,,,,,,6500000,,,,68040000
RC Lens,France,,1800000,2000000,,2000000,6000000,7100000,5000000,,,,,,,,,,,,23900000
RCD Espanyol,Spain,,,6000000,,,13500000,,,5000000,4000000,,,,,,,7000000,,18000000,53500000
RCD Mallorca,Spain,,,,4500000,,3500000,9000000,,6000000,,,,,,,,,,,23000000
RSC Anderlecht,Portugal,,,,,,,,,,,,,,,6000000,,,,,6000000
Reading,England,,,,,,,4500000,,,,,,3800000,,,,,8000000,,16300000
Real Betis,Spain,,5000000,,,9500000,5500000,11000000,16800000,32000000,3400000,,,,,,,7500000,24500000,20000000,135200000
Real Madrid CF,Spain,90750000,77500000,45000000,37500000,55300000,85500000,103000000,118000000,76000000,256500000,89000000,55000000,30000000,175500000,123000000,68500000,30000000,40500000,38500000,1595050000
Real Sociedad,Spain,,5000000,,,5500000,2500000,3500000,,,,,,14000000,,12000000,22200000,7000000,15500000,,87200000
Real Zaragoza,Spain,,2250000,2700000,3500000,,3500000,16000000,4500000,10000000,9000000,,8600000,,,,,,,,60050000
SC Braga,Italy,,,,,,,,,,,,,,,14000000,,,,,14000000
SC Freiburg,Germany,,,,,,,,,,,,,,4000000,6000000,,,,5000000,15000000
SL Benfica,Portugal,11500000,14500000,,15000000,1750000,,3500000,19670000,18500000,23500000,18980000,25000000,27000000,49100000,15200000,22000000,23000000,,6850000,295050000
