player_id,Name,Position,Age,Team_from,League_from,Team_to,League_to,Market_value,Transfert_fee,id,Season
5589,Luís Figo,Right Winger,27,FC Barcelona,Spain LIGA BBVA,Real Madrid CF,Spain LIGA BBVA,0,60000000,4,2000-2001
35561,Hernán Crespo,Centre-Forward,25,Parma,Italy Serie A,Lazio,Italy Serie A,0,56810000,5,2000-2001
5681,Marc Overmars,Left Winger,27,Arsenal,Spain LIGA BBVA,FC Barcelona,Spain LIGA BBVA,0,40000000,6,2000-2001
37804,Nicolas Anelka,Centre-Forward,21,Real Madrid CF,Spain LIGA BBVA,Paris Saint-Germain,Spain LIGA BBVA,0,34500000,7,2000-2001
7289,Rio Ferdinand,Centre-Back,22,West Ham United,England Premier League,Leeds,England Premier League,0,26000000,8,2000-2001
5984,David Trézéguet,Centre-Forward,22,AS Monaco,Italy Serie A,Juventus,Italy Serie A,0,23240000,9,2000-2001
213509,Lucas,Centre-Forward,21,Atlético-PR,France Ligue 1,Stade Rennais FC,France Ligue 1,0,21300000,10,2000-2001
34653,Pablo Aimar,Attacking Midfield,21,River Plate,Spain LIGA BBVA,Valencia CF,Spain LIGA BBVA,0,21250000,11,2000-2001
30492,Wálter Samuel,Centre-Back,22,Boca Juniors,Italy Serie A,AS Roma,Italy Serie A,0,20800000,12,2000-2001
24635,Robbie Keane,Centre-Forward,19,Coventry City,England Premier League,Inter,England Premier League,0,19500000,13,2000-2001
210868,José Mari,Centre-Forward,21,Atlético Madrid,Italy Serie A,AC Milan,Italy Serie A,0,19000000,14,2000-2001
32574,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Italy Serie A,AS Roma,Italy Serie A,0,18400000,15,2000-2001
210736,Émerson,Defensive Midfield,24,Bayer 04 Leverkusen,Italy Serie A,AS Roma,Italy Serie A,0,18000000,16,2000-2001
30625,Sylvain Wiltord,Second Striker,26,Girondins de Bordeaux,England Premier League,Arsenal,England Premier League,0,17500000,17,2000-2001
168530,Jardel,Centre-Forward,26,FC Porto,Portugal Liga ZON Sagres,Galatasaray,Portugal Liga ZON Sagres,0,17050000,18,2000-2001
30732,Nuno Gomes,Centre-Forward,24,SL Benfica,Italy Serie A,Fiorentina,Italy Serie A,0,17000000,19,2000-2001
38475,Francisco Farinós,Defensive Midfield,22,Valencia CF,Spain LIGA BBVA,Inter,Spain LIGA BBVA,0,16250000,20,2000-2001
34170,Francis Jeffers,Centre-Forward,20,Everton,England Premier League,Arsenal,England Premier League,0,15300000,21,2000-2001
1620,Emmanuel Petit,Defensive Midfield,29,Arsenal,Spain LIGA BBVA,FC Barcelona,Spain LIGA BBVA,0,15000000,22,2000-2001
31435,Tomás Rosicky,Attacking Midfield,20,Sparta Praha,Germany 1. Bundesliga,Borussia Dortmund,Germany 1. Bundesliga,0,14500000,23,2000-2001
38084,Mateja Kezman,Centre-Forward,21,Partizan,Netherlands Eredivisie,PSV Eindhoven,Netherlands Eredivisie,0,14000000,24,2000-2001
1668,Claude Makélélé,Defensive Midfield,27,RC Celta de Vigo,Spain LIGA BBVA,Real Madrid CF,Spain LIGA BBVA,0,14000000,25,2000-2001
36396,Stéphane Dalmat,Central Midfield,21,Olympique de Marseille,France Ligue 1,Paris Saint-Germain,France Ligue 1,0,10750000,26,2000-2001
35638,Pedro Munitis,Second Striker,25,Racing,Spain LIGA BBVA,Real Madrid CF,Spain LIGA BBVA,0,10500000,27,2000-2001
32573,Olivier Dacourt,Defensive Midfield,25,RC Lens,England Premier League,Leeds,England Premier League,0,10500000,28,2000-2001
1605,Robert Pirès,Left Midfield,26,Olympique de Marseille,England Premier League,Arsenal,England Premier League,0,9800000,29,2000-2001
210736,Émerson,Defensive Midfield,28,CD Tenerife,Spain LIGA BBVA,RC Deportivo de La Coruña,Spain LIGA BBVA,0,9600000,30,2000-2001
33781,Craig Bellamy,Left Winger,21,Norwich City,England Premier League,Coventry City,England Premier League,0,9250000,31,2000-2001
30623,Mark Viduka,Centre-Forward,24,Celtic,England Premier League,Leeds,England Premier League,0,9150000,32,2000-2001
23025,Nick Barmby,Left Midfield,26,Everton,England Premier League,Liverpool,England Premier League,0,9000000,33,2000-2001
39774,Lúcio,Centre-Back,22,Internacional,Germany 1. Bundesliga,Bayer 04 Leverkusen,Germany 1. Bundesliga,0,8750000,34,2000-2001
26165,John Carew,Centre-Forward,20,Rosenborg BK,Spain LIGA BBVA,Valencia CF,Spain LIGA BBVA,0,8500000,35,2000-2001
33074,Eidur Gudjohnsen,Centre-Forward,21,Bolton Wanderers,England Premier League,Chelsea,England Premier League,0,7500000,36,2000-2001
39441,Bruno Cirillo,Centre-Back,23,Reggina,Italy Serie A,Inter,Italy Serie A,0,7500000,37,2000-2001
207732,Roger,Attacking Midfield,21,Fluminense,Portugal Liga ZON Sagres,SL Benfica,Portugal Liga ZON Sagres,0,7500000,38,2000-2001
34106,Luís Fabiano,Centre-Forward,19,Ponte Preta,France Ligue 1,Stade Rennais FC,France Ligue 1,0,7000000,39,2000-2001
23953,Hermann Hreidarsson,Centre-Back,25,MK Dons,England Premier League,Ipswich,England Premier League,0,6750000,40,2000-2001
26015,Philippe Delaye,Central Midfield,25,Montpellier Hérault SC,France Ligue 1,Stade Rennais FC,France Ligue 1,0,6500000,41,2000-2001
24494,César Sánchez,Goalkeeper,28,Real Valladolid,Spain LIGA BBVA,Real Madrid CF,Spain LIGA BBVA,0,6250000,42,2000-2001
199137,Vicente,Left Winger,18,Levante UD,Spain LIGA BBVA,Valencia CF,Spain LIGA BBVA,0,4800000,43,2000-2001
35544,Julio Arca,Central Midfield,19,Argentinos,England Premier League,Sunderland,England Premier League,0,4700000,44,2000-2001
24211,Richard Dunne,Centre-Back,21,Everton,England Premier League,Manchester City,England Premier League,0,4500000,45,2000-2001
207865,Marquinhos,Attacking Midfield,18,Avaí FC,Germany 1. Bundesliga,Bayer 04 Leverkusen,Germany 1. Bundesliga,0,4500000,46,2000-2001
131845,Jonatan Johansson,Centre-Forward,24,Queens Park Rangers,England Premier League,Charlton,England Premier League,0,4300000,47,2000-2001
39311,Adrian Mutu,Centre-Forward,21,Inter,Italy Serie A,Hellas Verona,Italy Serie A,0,4000000,48,2000-2001
30852,Fernando Meira,Centre-Back,22,Vitória Guimarães,Portugal Liga ZON Sagres,SL Benfica,Portugal Liga ZON Sagres,0,4000000,49,2000-2001
24005,Lee Carsley,Defensive Midfield,26,Blackburn Rovers,England Premier League,Coventry City,England Premier League,0,3750000,50,2000-2001
23083,Stephen Hughes,Defensive Midfield,23,Arsenal,England Premier League,Everton,England Premier League,0,3500000,51,2000-2001
